COMBINED PAYROLL AND INDIVIDUAL INCOME TAX: DIFFERENCE BETWEEN BASE AND USER PLANS BY EXPANDED INCOME BIN (2019)
"","Tax Units with Tax Cut","Tax Units with Tax Increase","Count","Average Tax Change","Total Tax Difference","Percent with Tax Increase","Percent with Tax Decrease","Share of Overall Change"
"","Thousands","Thousands","Thousands","","Billions","","",""
"Less than 10","1,295","494","22,372","-6","-0.1","2.2","5.8","0.4"
"10-20","6,504","114","24,143","-79","-1.9","0.5","26.9","5.1"
"20-30","8,809","97","19,038","-173","-3.3","0.5","46.3","8.8"
"30-40","11,642","250","17,285","-295","-5.1","1.4","67.3","13.7"
"40-50","9,518","356","13,176","-371","-4.9","2.7","72.2","13.1"
"50-75","17,878","1,167","23,872","-549","-13.1","4.9","74.9","35.1"
"75-100","10,348","1,289","14,993","-611","-9.2","8.6","69.0","24.6"
"100-200","12,195","4,384","24,573","-548","-13.5","17.8","49.6","36.1"
"200-500","927","4,763","9,023","178","1.6","52.8","10.3","-4.3"
"500-1000","62","800","1,312","2,220","2.9","60.9","4.7","-7.8"
"1000+","44","442","681","13,591","9.3","65.0","6.4","-24.8"
"All","79,223","14,162","175,362","0","-37.3","0","0","100.0"
"Source: https://www.ospc.org/taxbrain/14814/","","","","","","","",""
