COMBINED PAYROLL AND INDIVIDUAL INCOME TAX: DIFFERENCE BETWEEN BASE AND USER PLANS BY EXPANDED INCOME BIN (2026)
"","Tax Units with Tax Cut","Tax Units with Tax Increase","Count","Average Tax Change","Total Tax Difference","Percent with Tax Increase","Percent with Tax Decrease","Share of Overall Change"
"","Thousands","Thousands","Thousands","","Billions","","",""
"Less than 10","737","501","19,129","-2","-0.0","2.6","3.9","0.1"
"10-20","4,836","125","19,884","-73","-1.5","0.6","24.3","3.0"
"20-30","7,867","124","21,545","-150","-3.2","0.6","36.5","6.7"
"30-40","8,479","113","15,623","-267","-4.2","0.7","54.3","8.6"
"40-50","10,278","302","14,852","-374","-5.6","2.0","69.2","11.5"
"50-75","19,633","969","26,828","-525","-14.1","3.6","73.2","29.1"
"75-100","13,369","1,232","18,302","-741","-13.6","6.7","73.0","28.0"
"100-200","17,619","4,386","31,691","-695","-22.0","13.8","55.6","45.5"
"200-500","2,508","6,306","15,046","-58","-0.9","41.9","16.7","1.8"
"500-1000","67","1,330","2,061","1,659","3.4","64.5","3.3","-7.1"
"1000+","60","639","1,016","12,925","13.1","63.0","5.9","-27.1"
"All","85,456","16,035","191,167","0","-48.4","0","0","100.0"
"Source: https://www.ospc.org/taxbrain/14814/","","","","","","","",""
