COMBINED PAYROLL AND INDIVIDUAL INCOME TAX: DIFFERENCE BETWEEN BASE AND USER PLANS BY EXPANDED INCOME BIN (2021)
"","Tax Units with Tax Cut","Tax Units with Tax Increase","Count","Average Tax Change","Total Tax Difference","Percent with Tax Increase","Percent with Tax Decrease","Share of Overall Change"
"","Thousands","Thousands","Thousands","","Billions","","",""
"Less than 10","1,158","495","21,460","-5","-0.1","2.3","5.4","0.3"
"10-20","5,937","110","23,395","-76","-1.8","0.5","25.4","4.4"
"20-30","8,370","106","19,444","-165","-3.2","0.6","43.0","7.9"
"30-40","11,429","206","17,549","-294","-5.2","1.2","65.1","12.7"
"40-50","9,162","354","13,011","-367","-4.8","2.7","70.4","11.7"
"50-75","18,861","1,135","25,337","-543","-13.8","4.5","74.4","33.8"
"75-100","11,174","1,301","15,972","-652","-10.4","8.1","70.0","25.6"
"100-200","13,412","4,457","26,310","-580","-15.2","16.9","51.0","37.5"
"200-500","1,227","5,077","10,247","108","1.1","49.5","12.0","-2.7"
"500-1000","65","924","1,478","2,027","3.0","62.5","4.4","-7.4"
"1000+","46","477","746","12,957","9.7","64.0","6.1","-23.8"
"All","80,841","14,648","179,926","0","-40.7","0","0","100.0"
"Source: https://www.ospc.org/taxbrain/14814/","","","","","","","",""
