COMBINED PAYROLL AND INDIVIDUAL INCOME TAX: DIFFERENCE BETWEEN BASE AND USER PLANS BY EXPANDED INCOME BIN (2025)
"","Tax Units with Tax Cut","Tax Units with Tax Increase","Count","Average Tax Change","Total Tax Difference","Percent with Tax Increase","Percent with Tax Decrease","Share of Overall Change"
"","Thousands","Thousands","Thousands","","Billions","","",""
"Less than 10","816","504","19,550","-3","-0.1","2.6","4.2","0.1"
"10-20","5,076","117","20,882","-74","-1.5","0.6","24.3","3.3"
"20-30","8,055","130","21,094","-154","-3.3","0.6","38.2","6.9"
"30-40","9,025","121","15,940","-274","-4.4","0.8","56.6","9.3"
"40-50","9,956","326","14,413","-371","-5.4","2.3","69.1","11.4"
"50-75","19,598","983","26,682","-528","-14.1","3.7","73.5","30.1"
"75-100","12,993","1,250","17,914","-727","-13.0","7.0","72.5","27.8"
"100-200","16,651","4,394","30,542","-670","-20.5","14.4","54.5","43.7"
"200-500","2,144","6,061","13,895","-23","-0.3","43.6","15.4","0.7"
"500-1000","70","1,244","1,935","1,735","3.4","64.3","3.6","-7.2"
"1000+","56","602","952","12,856","12.2","63.2","5.9","-26.1"
"All","84,442","15,741","188,958","0","-46.9","0","0","100.0"
"Source: https://www.ospc.org/taxbrain/14814/","","","","","","","",""
