COMBINED PAYROLL AND INDIVIDUAL INCOME TAX: DIFFERENCE BETWEEN BASE AND USER PLANS BY EXPANDED INCOME BIN (2024)
"","Tax Units with Tax Cut","Tax Units with Tax Increase","Count","Average Tax Change","Total Tax Difference","Percent with Tax Increase","Percent with Tax Decrease","Share of Overall Change"
"","Thousands","Thousands","Thousands","","Billions","","",""
"Less than 10","910","514","20,024","-3","-0.1","2.6","4.5","0.1"
"10-20","5,350","105","21,377","-77","-1.6","0.5","25.0","3.6"
"20-30","8,097","121","20,882","-154","-3.2","0.6","38.8","7.1"
"30-40","9,756","142","16,560","-280","-4.6","0.9","58.9","10.2"
"40-50","9,490","301","13,718","-371","-5.1","2.2","69.2","11.2"
"50-75","19,758","1,058","26,755","-533","-14.3","4.0","73.8","31.5"
"75-100","12,449","1,223","17,323","-711","-12.3","7.1","71.9","27.2"
"100-200","15,701","4,436","29,343","-645","-18.9","15.1","53.5","41.8"
"200-500","1,882","5,817","12,904","12","0.2","45.1","14.6","-0.3"
"500-1000","69","1,144","1,793","1,799","3.2","63.8","3.9","-7.1"
"1000+","54","567","896","12,742","11.4","63.3","6.0","-25.2"
"All","83,519","15,437","186,688","0","-45.3","0","0","100.0"
"Source: https://www.ospc.org/taxbrain/14814/","","","","","","","",""
