COMBINED PAYROLL AND INDIVIDUAL INCOME TAX: DIFFERENCE BETWEEN BASE AND USER PLANS BY EXPANDED INCOME BIN (2020)
"","Tax Units with Tax Cut","Tax Units with Tax Increase","Count","Average Tax Change","Total Tax Difference","Percent with Tax Increase","Percent with Tax Decrease","Share of Overall Change"
"","Thousands","Thousands","Thousands","","Billions","","",""
"Less than 10","1,232","493","21,907","-6","-0.1","2.3","5.6","0.3"
"10-20","6,182","114","23,755","-78","-1.9","0.5","26.0","4.7"
"20-30","8,489","108","19,155","-168","-3.2","0.6","44.3","8.2"
"30-40","11,616","229","17,578","-293","-5.2","1.3","66.1","13.2"
"40-50","9,384","354","13,173","-368","-4.9","2.7","71.2","12.4"
"50-75","18,254","1,168","24,455","-546","-13.4","4.8","74.6","34.2"
"75-100","10,828","1,293","15,578","-631","-9.8","8.3","69.5","25.2"
"100-200","12,819","4,421","25,413","-566","-14.4","17.4","50.4","36.8"
"200-500","1,044","4,900","9,590","145","1.4","51.1","10.9","-3.6"
"500-1000","65","871","1,403","2,101","2.9","62.0","4.6","-7.5"
"1000+","44","455","705","13,266","9.4","64.5","6.3","-23.9"
"All","79,959","14,412","177,651","0","-39.1","0","0","100.0"
"Source: https://www.ospc.org/taxbrain/14814/","","","","","","","",""
