COMBINED PAYROLL AND INDIVIDUAL INCOME TAX: DIFFERENCE BETWEEN BASE AND USER PLANS BY EXPANDED INCOME BIN (2022)
"","Tax Units with Tax Cut","Tax Units with Tax Increase","Count","Average Tax Change","Total Tax Difference","Percent with Tax Increase","Percent with Tax Decrease","Share of Overall Change"
"","Thousands","Thousands","Thousands","","Billions","","",""
"Less than 10","1,088","496","20,960","-5","-0.1","2.4","5.2","0.2"
"10-20","5,747","114","22,709","-76","-1.7","0.5","25.3","4.1"
"20-30","8,255","100","19,916","-162","-3.2","0.5","41.5","7.6"
"30-40","10,958","180","17,414","-288","-5.0","1.0","62.9","11.9"
"40-50","9,162","340","13,075","-368","-4.8","2.6","70.1","11.4"
"50-75","19,368","1,123","26,052","-541","-14.1","4.3","74.3","33.3"
"75-100","11,518","1,281","16,386","-670","-11.0","7.8","70.3","26.0"
"100-200","14,090","4,459","27,247","-598","-16.3","16.4","51.7","38.6"
"200-500","1,415","5,300","11,056","72","0.8","47.9","12.8","-1.9"
"500-1000","67","989","1,562","1,967","3.1","63.3","4.3","-7.3"
"1000+","48","504","790","12,803","10.1","63.9","6.0","-23.9"
"All","81,718","14,891","182,193","0","-42.3","0","0","100.0"
"Source: https://www.ospc.org/taxbrain/14814/","","","","","","","",""
