COMBINED PAYROLL AND INDIVIDUAL INCOME TAX: DIFFERENCE BETWEEN BASE AND USER PLANS BY EXPANDED INCOME BIN (2018)
"","Tax Units with Tax Cut","Tax Units with Tax Increase","Count","Average Tax Change","Total Tax Difference","Percent with Tax Increase","Percent with Tax Decrease","Share of Overall Change"
"","Thousands","Thousands","Thousands","","Billions","","",""
"Less than 10","1,365","483","22,899","-7","-0.2","2.1","6.0","0.4"
"10-20","6,780","113","24,396","-80","-2.0","0.5","27.8","5.5"
"20-30","9,182","113","18,944","-180","-3.4","0.6","48.5","9.6"
"30-40","11,458","267","16,767","-296","-5.0","1.6","68.3","14.0"
"40-50","9,710","375","13,312","-370","-4.9","2.8","72.9","13.8"
"50-75","17,366","1,190","23,146","-553","-12.8","5.1","75.0","36.0"
"75-100","9,825","1,289","14,343","-594","-8.5","9.0","68.5","24.0"
"100-200","11,616","4,365","23,838","-530","-12.6","18.3","48.7","35.5"
"200-500","821","4,603","8,469","211","1.8","54.4","9.7","-5.0"
"500-1000","61","755","1,246","2,342","2.9","60.6","4.9","-8.2"
"1000+","41","430","657","13,887","9.1","65.5","6.3","-25.7"
"All","78,228","13,991","172,860","0","-35.5","0","0","100.0"
"Source: https://www.ospc.org/taxbrain/14814/","","","","","","","",""
